Key,Description,en,fr
throttleInteractable_859490,VR Interactable,Throttle,Manette des Gaz
autoAdjustJoyInteractable_856740,VR Interactable,Auto Adjust Joystick,Ajustement Automatique du Manche
joyParent_856842,VR Interactable,Joystick,Manche
dButtonBase_857788,VR Interactable,Adjust Left,Ajuster à Gauche
dButtonBase (1)_856914,VR Interactable,Adjust Right,Ajuster à Droite
dButtonBase (2)_858724,VR Interactable,Adjust Forward,Ajuster vers l'Avant
dButtonBase (3)_856684,VR Interactable,Adjust Back,Ajuster vers l'Arrière
dButtonBase (4)_860052,VR Interactable,Adjust Up,Ajuster vers le Haut
dButtonBase (5)_857762,VR Interactable,Adjust Down,Ajuster vers le Bas
ToggleAdjustJoyInteractable_855938,VR Interactable,Toggle Auto Adjust,Basculer l'Ajustement Auto
CockpitLightsInteractable_857330,VR Interactable,Cockpit Lights,Lumières Cockpit
BayLightsInteractable_855990,VR Interactable,Bay Lights,Lumières Baie Chargement
LabelBrightnessKnob_859032,VR Interactable,Instrument Brightness,Luminosité Instruments
LabelGlowPowerInteractable_859822,VR Interactable,Instrument Lights,Lumières Instruments
NavLightSwitchInteractable_857704,VR Interactable,Navigation Lights,Feux de Navigation
StrobeSwitchInteractable_857192,VR Interactable,Strobe Lights,Balises de Sécurité
LandingLightSwitchInteractable_860068,VR Interactable,Landing Lights,Phares d'Atterrissage
ejectInteractable_858246,VR Interactable,Eject,Ejecter
raiseSeatInter_857284,VR Interactable,Raise Seat,Relever le Siège
lowerSeatInter_856168,VR Interactable,Lower Seat,Baisser le Siège
ButtonText_855888,UI Text,"Recenter
seat","Recentrer
le Siège"
ButtonText_855804,UI Text,Restart,Redémarrer
ButtonText_858140,UI Text,"exit
mission","quitter 
la mission"
ButtonText_859092,UI Text,"Quick
save","Sauvegarde
Rapide"
ButtonText_857740,UI Text,Load,Charger
ButtonText_856918,UI Text,Save,Sauvegarder
helmVisorInteractable_857720,VR Interactable,Visor,Visière
helmNVGInteractable_856016,VR Interactable,NVG,VISION NOCTURNE
PendingText_857928,UI Text,in progress...,en cours...
CompleteText_856172,UI Text,COMPLETE,TERMINÉE
MissionText_855910,UI Text,"MISSION
","MISSION
"
FailedText_855830,UI Text,FAILED,ÉCHOUÉE
Handle_112840,VR Interactable,Scroll,Faire défiler
Text_857226,UI Text,Restart Mission,Redémarrer la Mission
ReturnButton_856630,VR Interactable,Return to Main,Retour au Menu
Text_859052,UI Text,Finish Mission,Terminer la Mission
ToggleLogButton_860176,VR Interactable,Toggle Flight Log,Basculer Journal de Vol
Text_859844,UI Text,Show/Hide Flight Log,Afficher/Masquer Journal de Vol
ContinueFlightButton_858160,VR Interactable,Continue Flight,Continuer le Vol
Text_857174,UI Text,Flight log,Journal de Vol
UpIcon_857052,VR Interactable,Scroll Up,Défiler vers le Haut
DnIcon_859440,VR Interactable,Scroll Down,Défiler vers le Bas
BottomIcon_857190,VR Interactable,To Bottom,Vers le Bas
SaveToDiskText_857640,VR Interactable,Save Flight Log,Enregistrer le Journal de Vol
completionTimeLabel_-10687514,UI Text,Completion Time:,Temps d'Exécution:
releaseLabel_859238,UI Text,RELEASE,RELÂCHER
AirspeedLabel_857044,UI Text,SPEED,VITESSE
Label_858112,UI Text,TILT,
Label_856174,UI Text,HULL,COQUE
VertVelLabel_857254,UI Text,VERT,VERT
ASLText_858014,UI Text,ASL,ASL
RDRAltText_858872,UI Text,RDR,RDR
Text_857542,UI Text,[ COLLISION      WARNING ],[ AVERTISSEMENT  COLLISION ]
Text_859692,UI Text,[ STALL          WARNING ],[ AVERTISSEMENT DÉCROCHAGE ]
Label_857754,UI Text,HDG,
HudBrakeLock_858050,UI Text,[ BRAKE LOCK],[ VERROUILLAGE FREIN ]
Label_164444,HUD unit label (g-force),G,G
Label_168976,HUD unit label (mach),M,M
Label_857238,UI Text,"HVR
ALT",ALT FLOTT.
Label_857834,UI Text,BRAKE,FREIN
Text_859476,UI Text,-[ CHECK GEAR ]-,-[ VÉRIFIER TRAIN ]-
Text_703132,UI Text,PULL UP!,REDRESSEZ !
visorButtonInteractable_855374,VR Interactable,Toggle Visor,Basculer la Visière
nvgButtonInteractable_859612,VR Interactable,Toggle NVG,Basculer NVG
HUDTintKnob_858060,VR Interactable,HUD Tint,Teinte HUD
HUDSpeedUnitsButton_858304,VR Interactable,Airspeed Units,Unités de Vitesse
SpeedUnitsLabel_858142,UI Text,TODO,
ClrWptButton_859478,VR Interactable,Clear Waypoint,Effacer le Point de Passage
MasterCautionInteractable_855702,VR Interactable,Clear Cautions,Effacer les Avertissements
AltitudeModeInteractable_859776,VR Interactable,Toggle Altitude Mode,Basculer en Mode Altitude
headingAPButton_858104,VR Interactable,Heading Hold,Maintien du Cap
altitudeAPButton_855514,VR Interactable,Altitude Hold,Maintien de l'Altitude
hoverAPButton_858476,VR Interactable,Hover Mode,Mode Stationnaire
offAPButton_857466,VR Interactable,All AP Off,Tous AP désactivés
navAPButton_855348,VR Interactable,Navigation Mode,Mode de Navigation
hudPowerInteractable_855558,VR Interactable,HUD Power,Allumage HUD
hmcsPowerInteractable_856320,VR Interactable,HMCS Power,Allumage NCSM
HUDBrightKnob_855728,VR Interactable,HUD Brightness,Luminosité HUD
HUDDeclutterKnob_858778,VR Interactable,HUD Declutter,Réduction HUD
leftEngineSwitchInteractable_858214,VR Interactable,Left Engine,Moteur Gauche
coverSwitchInteractable_leftEngine_858864,VR Interactable,Switch Cover,Capuchon Interrupteur
rightEngineSwitchInteractable_857464,VR Interactable,Right Engine,Moteur Droit
apuSwitchInteractable_855502,VR Interactable,Auxilliary Power,Alimentation Auxiliaire
Label (1)_857692,UI Text,AV-42,AV-42
GearInteractable_856386,VR Interactable,Landing Gear,Train d'Atterrissage
FlapsInteractable_855734,VR Interactable,Flaps,Volets
HookInteractable_858430,VR Interactable,Arrestor Hook,Crosse d'Appontage
CatHookInteractable_859182,VR Interactable,Launch Bar,Barre de Catapultage
masterArmSwitchInteractable_859944,VR Interactable,Master Arm Switch,Interrupteur Général Armement
MasterJettisonButtonInteractable_856040,VR Interactable,Jettison,Larguer
JettisonAllInteractable_860130,VR Interactable,JettisonAll,ToutLarguer
JettisonEmptyInteractable_860042,VR Interactable,Jettison Empty,Larguer Vide
ClearJettisonInteractable_856154,VR Interactable,Clear Jettison Marks,Effacer Marqueurs Largage
Label (1)_858442,UI Text,QUICK START,DÉMARRAGE RAPIDE
QuickStartInteractable_857660,VR Interactable,Quickstart Engines,Démarrage Rapide des Moteurs
Label (1)_860014,UI Text,QUICK FLY,VOL RAPIDE
QuickFlyButton_857886,VR Interactable,QuickFly,VolRapide
Text_856940,UI Text,"VR MFCD
1.0
",
SaveToDiskText_857186,UI Text,Save to Disk,Sauvegarder sur le Disque
Title_856292,UI Text,"Spectator
Camera","Caméra
Spectateur"
AutoFOVText_857446,UI Text,AutoFOV,FOVAuto
Title_859956,UI Text,HARDPOINTS,PYLÔNES
JettisonText_859418,UI Text,ARMED,ARMÉ
JettisonText_857292,UI Text,JETTISON,LARGUER
BackText_856938,UI Text,BACK,RETOUR
Title_859674,UI Text,ARAD,ARAD
offTxt_858396,UI Text,RWR OFF,ÉTEINDRE RWR
hudModeText_855534,UI Text,DECL,RÉDUC
Text_856460,UI Text,GAME MENU,MENU DU JEU
Text_856942,UI Text,"Sit comfortably
and press
[menu]
to recenter","Asseyez-vous confortablement
et appuyez sur
[menu]
pour recentrer"
saveText_858168,UI Text,SAVE,SAUVEGARDER
availableLabel_856046,UI Text,"SAVES
AVAILABLE:","SAUVEGARDES
DISPONIBLES"
NoQsText_856498,UI Text,"QUICKSAVE
NOT AVAILABLE","SAUVEGARDE RAPIDE
PAS DISPONIBLE"
lastSaveLabel_859496,UI Text,Last Save:,Dernière Sauvegarde :
loadText_858842,UI Text,LOAD,CHARGEMENT
text_855302,UI Text,SAVED,SAUVEGARDÉ
Quicksave Title_123840,UI Text,Quicksave,Sauvegarde Rapide
TgtsTitle_857670,UI Text,GPS TARGETS,CIBLES GPS
GroupsTitle_860122,UI Text,GROUPS,GROUPES
DelTgt_857782,UI Text,"DELETE
TARGET","SUPPRIMER
CIBLE"
DelGrp_856478,UI Text,"DELETE
GROUP","SUPPRIMER
GROUPE"
NewGrp_859040,UI Text,"NEW
GROUP","NOUVEAU
GROUPE"
pathLabel_857952,UI Text,PATH,CHEMIN
NoSignalText_859948,UI Text,NO SIGNAL,PAS DE SIGNAL
Text_857566,UI Text,AREA,ZONE
Text_856980,UI Text,POINT,POINT
Text_856590,UI Text,IFF:FRIEND,IFF: AMI
Text_859178,UI Text,IFF:FOE,IFF : ENNEMI
HeadModeText_855284,UI Text,"USE HELMET VISOR/HMCS

AUGMENTED VIEW ENABLED","UTILISER LA VISIÈRE DU CASQUE

VISION AUGMENTÉE ACTIVÉE"
gimbalLimit_858032,UI Text,GIMBAL LIMIT,LIMITE CARDAN
hmdViewStatus_856300,UI Text,HMD,HMD
titleText_456206,UI Text,FLARES,LEURRES
titleText_455052,UI Text,CHAFF,PAILLETTES
eqNameText_456958,UI Text,COUNTERMEASURE SYSTEM,SYSTÈME DE CONTRE-MESURE
ReleaseRateTitle_456222,UI Text,RELEASE RATE,CADENCE DE LARGAGE
releaseModeTxt_455244,UI Text,RELEASE MODE,MODE DE LARGAGE
eqNameText_930458,UI Text,VEHICLE OPTIONS,OPTIONS DE VÉHICULE
AltModeLabel_953220,UI Text,UNITS,UNITÉS
unitOptsText_702428,UI Text,FUEL,CARBURANT
unitOptsText_702142,UI Text,ALT WARN,ALERTE ALT
JoyModeText_952514,UI Text,JOY SENS,SENS MANCHE
eqNameText_701656,UI Text,UNIT OPTIONS,OPTIONS UNITÉS
Text_954730,UI Text,"Sit comfortably
and press menu
(top button)
to recenter","Asseyez-vous confortablement
et appuyez sur menu
(bouton du haut)
pour recentrer"
AltModeLabel_701584,UI Text,Alt Units,Unités Alt
DistModeLabel_954954,UI Text,Dist Units,Unités Dist
SpeedModeLabel_955738,UI Text,Speed Units,Unités Vitesse
eqNameText_702892,UI Text,FUEL CONFIG,CONFIG CARBURANT
internalFuelText_-432922,Internal Fuel,INTERNAL,INTERNE
externalFuelText_701646,External fuel,EXTERNAL,EXTERNE
BingoAdjustTitle_-439040,UI Text,BINGO LEVEL,NIVEAU BINGO
eqNameText_701974,UI Text,ALTITUDE WARNINGS,ALERTES ALTITUDE
title_702284,UI Text,MIN ALTITUDE,ALTITUDE MIN
