Key,Description,en,fr
ejectInteractable_911648,VR Interactable,Eject,Ejecter
neckPTT_2582164,VR Interactable,Radio PTT,
ButtonText_952188,UI Text,"Recenter
seat","Recentrer
siege"
ButtonText_954842,UI Text,"exit
mission","sortir
mission"
ButtonText_915708,UI Text,"Recenter
seat","Recentrer
siege"
ButtonText_913026,UI Text,Restart,Redemarrer
ButtonText_913894,UI Text,"exit
mission","sortir
mission"
ButtonText_913940,UI Text,"Quick
save","Rapide
sauvegarde"
ButtonText_915630,UI Text,Load,Charge
ButtonText_913374,UI Text,Save,Sauvegarder
Label_280922,HUD Unit label (mach),M,
Label_280582,HUD Unit label (g-force),G,
helmVisorInteractable_913784,VR Interactable,Visor,Visiere
helmNVGInteractable_916002,VR Interactable,NVG,LVN
PendingText_912704,UI Text,in progress...,en cours...
CompleteText_915034,UI Text,COMPLETE,ACHEVEE
MissionText_913392,UI Text,"MISSION
",MISSION
FailedText_916378,UI Text,FAILED,ECHOUE
Handle_395644,VR Interactable,Scroll,Faire défiler
Text_913356,UI Text,Restart Mission,Recommencer la mission
ReturnButton_915862,VR Interactable,Return to Main,Retour à l'accueil
Text_916314,UI Text,Finish Mission,Terminer la mission
ToggleLogButton_915924,VR Interactable,Toggle Flight Log,Basculer le journal de vol
Text_915514,UI Text,Show/Hide Flight Log,Afficher/masquer le journal de vol
ContinueFlightButton_914390,VR Interactable,Continue Flight,Continuer le vol
Quickload_414134,VR Interactable,Quickload,Chargement rapide
Text_913888,UI Text,Flight log,Journal de vol
UpIcon_915836,VR Interactable,Scroll Up,Defiler vers le haut
DnIcon_916128,VR Interactable,Scroll Down,Defiler vers le bas
BottomIcon_913766,VR Interactable,To Bottom,Vers le bas
SaveToDiskText_912244,VR Interactable,Save Flight Log,enregistrer le journal de vol
completionTimeLabel_-10687514,UI Text,Completion Time:,Temps d'achevement:
joyInteractable_915260,VR Interactable,Joystick,Joystick
joyAdjustInteractable_916106,VR Interactable,Adjust Joystick,
AdjLeftButton_916408,VR Interactable,Adjust Left,
AdjRightButton_913538,VR Interactable,Adjust Right,
AdjFwdButton_915546,VR Interactable,Adjust Forward,
AdjBackButton_916410,VR Interactable,Adjust Back,
AdjUpButton_912256,VR Interactable,Adjust Up,
AdjDownButton_915128,VR Interactable,Adjust Down,
ToggleAdjustJoyInteractable_911908,VR Interactable,Toggle Auto Adjust,Basculer le reglage automatique
Text_915188,VT Text,AUTO,AUTO
releaseLabel_912934,UI Text,RELEASE,LIBERER
loalText_299878,HUD when lock-on-after-launch AGM mode is active,LOAL,
Label_915698,UI Text,SPEED,VITESSE
Label_916182,UI Text,HULL,COQUE
Label_913628,UI Text,VERT,
ASLText_915472,UI Text,ASL,
RDRAltText_911650,UI Text,RDR,
Text_912910,UI Text,[ COLLISION      WARNING ],[ AVERTISSEMENT DE COLLISION ]
Text_915452,UI Text,[ STALL          WARNING ],[ AVERTISSEMENT DE DECROCHAGE ]
Label_914952,UI Text,HDG,
HudBrakeLock_912300,UI Text,[ BRAKE LOCK ],[ VERROUILLAGE DU FREIN ]
Text_913428,UI Text,-[ CHECK GEAR ]-,-[ VERIFIER LE MATERIEL ]-
Label_913926,UI Text,"HVR
ALT",
Label_912198,UI Text,BRAKE,FREIN
Label_916010,UI Text,"RDR
BORESIGHT",
HudWingFold_914040,UI Text,[ WING FOLD ],[ PLIAGE D'AILE ]
Label_912968,UI Text,TILT,INCLINAISON
Text_409944,UI Text,PULL UP!,REMONTER!
PresetsLabel_912374,UI Text,LAYOUT SET,ENSEMBLE DE MISE EN PAGE
PortalPresetButton1_913502,VR Interactable,Preset 1,Prereglage 1
PortalPresetButton2_914226,VR Interactable,Preset 2,Prereglage 2
PortalPresetButton3_913676,VR Interactable,Preset 3,Prereglage 3
PortalPresetButton4_912162,VR Interactable,Preset 4,Prereglage 4
Saved_911584,UI Text,SAVED,ENREGISTRÉ
Text_914576,UI Text,"LAUNCH
WARNING",LANCEMENT
Text_412452,UI Text,MWS,MWS
MastCautFlash_915446,VR Interactable,Dismiss,Rejeter
Text_912896,UI Text,"MASTER
CAUTION","MAITRE
AVERTIR"
Text_930208,UI Text,AB,AB
Text_410182,UI Text,SHOOT,TIRER
ClrWptButton_911890,VR Interactable,Clear Waypoint,Effacer le point de cheminement
txt_914312,UI Text,CLR WPT,CLR WPT
AltModeButton_914516,VR Interactable,Altitude Mode,Mode altitude
txt_914352,UI Text,ALT MODE,MODE ALTERNATIVE
ChaffLabel_410848,UI Text,CHAFF,BALLE
FlareLabel_412694,UI Text,FLARE,FUSEES ECLAIRANTES
FuelInfoButton_413878,VR Interactable,Show Fuel,Afficher le carburant
txt_411628,UI Text,FUEL,CARBURANT
AutoPilotDisplayButton_409942,VR Interactable,Show Autopilot,Afficher le pilote automatique
txt_412918,UI Text,AUTOPILOT,PILOTE AUTOMATIQUE
AltAPButton_411832,VR Interactable,Altitude AP,Altitude PA
txt_413182,UI Text,ALT,ALT
HeadingAPButton_414054,VR Interactable,Heading AP,En-tete AP
NavAPButton_411372,VR Interactable,Nav Waypoint AP,Point de cheminement de navigation AP
txt_410280,UI Text,NAV,VNI
APOffButton_413514,VR Interactable,AP Off,AP desactive
txt_413324,UI Text,OFF,DESACTIVE
HeadingRight_415110,VR Interactable,Heading Right,Cap à droite
HeadingLeft_411474,VR Interactable,Heading Left,Cap à gauche
AltUp_410754,VR Interactable,Alt +,Alt +
AltDown_413378,VR Interactable,Alt -,Alt -
Text (1)_395816,UI Text,FUEL,CARBURANT
Text_914572,Internal fuel,INTERNAL,INTERNE
Text_912264,External Fuel,EXTERNAL,EXTERNE
fuelDrainLabel_916118,UI Text,FUEL DRAIN,VIDANGE DE CARBURANT
estTimeLabel_913460,UI Text,EST TIME,HEURE EST
estDistLabel_913976,UI Text,"EST DIST
",DIST EST
twrLabel_914716,UI Text,MAX TWR,
SwapButton_916316,VR Interactable,Swap Displays,Permuter les Ecrans
Text_911674,UI Text,SWAP,PERMUTER
MenuButton_911602,VR Interactable,Open Menu,Ouvrir le menu
Text_913308,UI Text,MENU,MENU
HideSubsButton_915178,TSD window config,Hide Subportals,Masquer les sous-portails
ShowSubsButton_916154,TSD window config,Show Subportals,Afficher les sous-portails
MaximizeButton_915918,TSD window config,Maximize,Maximiser
UnMaximizeButton_911968,TSD window config,Return,Retour
SubButtonLeft_912568,VR Interactable,Interactable,Interactif
RadarPwrButton_911576,VR Interactable,Radar Power,Puissance radar
txt_3677856,UI Text,RDR PWR,
SOI Button_915502,VR Interactable,Toggle SOI,Basculer le SOI
txt_913014,UI Text,SOI,
ResetButton_912504,VR Interactable,Reset View,Reinitialiser la vue
txt_914802,UI Text,RESET,REINITIALISER
ZoomInButton_915158,VR Interactable,Zoom +,Zoomer +
ZoomOutButton_914052,VR Interactable,Zoom -,Zoom -
txt_911592,UI Text,"Z
O
O
M",
AltUpButton_915856,VR Interactable,Target Altitude Up,Altitude cible vers le haut
AltDownButton_915176,VR Interactable,Target Altitude Down,Altitude cible vers le bas
GPS-S Button_912284,VR Interactable,Send GPS Target,Envoyer une cible GPS
txt_913488,UI Text,GPS-S,GPS-S
FuelWPButton_913116,VR Interactable,Set Fuel Waypoint,Definir le point de cheminement du carburant
txt_394682,UI Text,FUEL,LE CARBURANT
RTBWPButton_915740,VR Interactable,Set RTB Waypoint,Definir le point de cheminement RTB
txt_911618,UI Text,RTB,RTB
ObjWpButton_915190,VR Interactable,Set Objective Waypoint,Definir un point de cheminement objectif
txt_912214,UI Text,OBJ,OBJ
ModeButton_931214,VR Interactable,Toggle Rotation Mode,Basculer le mode de rotation
tgpMode (1)_912938,UI Text,MODE,MODE
Subsized_393072,UI Text,NAV,VNI
PrevButton_911806,VR Interactable,Previous Objective,Objectif precedent
txt_915846,UI Text,PREV,PRECEDENT
NextButton_912640,VR Interactable,Next Objective,Objectif suivant
txt_911854,UI Text,NEXT,SUIVANT
WptButton_915876,VR Interactable,Set Waypoint,Definir le point de cheminement
txt_912902,UI Text,SET WPT,SET WPT
MissionText_913922,UI Text,OBJECTIVES,OBJECTIFS
Title_915150,UI Text,Spectator Camera,Camera Spectateur
PreviewBtn_912556,VR Interactable,Toggle Preview,Basculer l'apercu
txt_914652,UI Text,PREVIEW,APERCU
AutoFOVText_913340,UI Text,AutoFOV,Champ de vision automatique
StartButton_912580,VR Interactable,Start,Demarrer
txt_929168,UI Text,START,DeMARRER
StopButton_916412,VR Interactable,Stop,Arreter
txt_391880,UI Text,STOP,ARRETER
ModeButton_912112,VR Interactable,Switch Modes,Changer de mode
RandBtn_913264,VR Interactable,Random Modes,Modes aleatoires
txt_912466,UI Text,RAND,RAND
FovBtn_915130,VR Interactable,Change FOV,Changer le champ de vision
txt_916254,UI Text,FOV,Champ de vision
AudioBtn_913514,VR Interactable,Toggle Audio,Basculer le son
LookModeBtn_911888,VR Interactable,Toggle Look Mode,Basculer le mode de visualisation
txt_913042,UI Text,LOOK,REGARDER
AutoResetBtn_914756,VR Interactable,Toggle Auto Reset,Basculer la reinitialisation automatique
AutoResetTimeBtn_915938,VR Interactable,Cycle Reset Time,Temps de reinitialisation du cycle
SSBtn_911784,VR Interactable,4k Screenshot,Capture d'ecran 4k
txt_915184,UI Text,SS,SS
Subsized_911678,UI Text,SPEC CAM,CAM SPEC
ToggleCMSModeButton_317010,VR Interactable,Toggle Mode,Basculer le mode
eqNameText_930458,UI Text,VEHICLE OPTIONS,OPTIONS DE VEHICULE
JoyModeText_916046,VR Interactable,Joystick Mode,Mode manette
JoyModeText_txt_-2288018,UI Text,JOYSTICK MODE,MODE JOYSTICK
JoySensText_-6385166,VR Interactable,Joystick Sensitivity,Sensibilite du joystick
JoySensText_txt_-2287244,UI Text,JOY SENS,JOIE SENS
UnitsButton_2553924,VR Interactable,Unit Options,Options d'unite
UnitsButton_txt_-3699322,UI Text,UNITS,UNITES
AltWarnButton_265846,VR Interactable,Altitude Warning Options,Options d'avertissement d'altitude
AltWarnButton_txt_-3700084,UI Text,ALT WARNING,AVERTISSEMENT ALT
eqNameText_412380,UI Text,UNIT OPTIONS,OPTIONS D'UNITE
UnitsButton_270412,VR Interactable,Altitude Units,Unites d'altitude
AltModeLabel_txt_-2237336,UI Text,Alt Units,Unites alternatives
DistModeLabel_913734,VR Interactable,Distance Units,Unites de distance
DistModeLabel_txt_-2238442,UI Text,Dist Units,Unites de distance
SpeedModeLabel_913492,VR Interactable,Speed Units,Unites de vitesse
SpeedModeLabel_txt_-2239208,UI Text,Speed Units,Unites de vitesse
BackButton_929148,VR Interactable,Return to SMS,Retour au SMS
txt_916098,UI Text,RETURN,REVENIR
eqNameText_415092,UI Text,ALTITUDE WARNINGS,AVERTISSEMENTS D'ALTITUDE
title_414582,UI Text,MIN ALTITUDE,ALTITUDE MIN
up_403726,VR Interactable,Min Alt +,Alt min +
down_403970,VR Interactable,Min Alt -,Alt min -
title_412346,UI Text,MAX ALTITUDE,ALTITUDE MAX
up_404106,VR Interactable,Max Alt +,Alt max +
down_403400,VR Interactable,Max Alt -,Alt max -
ToggleModeButton_400002,VR Interactable,Toggle Altitude Mode,Basculer en mode altitude
Subsized_914204,UI Text,OPTION,OPTION
wpnInfoInteractable_913170,VR Interactable,Config,Configuration
txt_916366,UI Text,MASTER SAFE,COFFRE-FORT
BayOverridesButton_930920,VR Interactable,Weapon Bay Door Overrides,Contournements de la porte de la baie d'armes
txt_930770,UI Text,"BAY DOOR
OVERRIDES",PORTE EN BAIE
FuelConfigButton_-387262,VR Interactable,Fuel Configuration,Configuration du carburant
txt_413290,Fuel Config Button,"FUEL
CONFIG","CARBURANT
CONFIG"
ModeButton_-387576,VR Interactable,Action Mode,Mode d'action
CMSConfigButton_414354,VR Interactable,CMS Configuration,Configuration du CMS
txt_409780,CMS Config Button,CMS,CMS
armedInteractable_-50098,SMS equip arming button,Toggle Arming,Basculer l'armement
jettisonText_152168,SMS equip jettison button,JETTISON,ABANDONNER
jettisonInteractable_-49280,SMS equip jettison button,Toggle Jettison,Basculer largage
eqNameText_413016,UI Text,"WEAPON BAY DOOR
OVERRIDES",PORTE DE LA BAIE D'ARMES
SideBayLeftOverride_930680,VR Interactable,Toggle Bay Override,Basculer le remplacement de la baie
optionLabel_929256,UI Text,SIDE BAY LEFT,BAIE LATERALE GAUCHE
optionLabel_930046,UI Text,SIDE BAY RIGHT,SIDE BAY DROITE
optionLabel_930498,UI Text,MAIN BAY LEFT,BAIE PRINCIPALE GAUCHE
optionLabel_929734,UI Text,MAIN BAY RIGHT,BAIE PRINCIPALE DROITE
optionLabel_930724,UI Text,ALL BAYS,TOUTES LES BAIES
eqNameText_414772,UI Text,FUEL CONFIG,CONFIG CARBURANT
BingoAdjustTitle_-439040,UI Text,BINGO LEVEL,NIVEAU BINGO
BingoUp_-438640,VR Interactable,Bingo +,Bingo +
BingoDown_-438642,VR Interactable,Bingo -,Bingo -
FuelDumpTitle_414318,UI Text,FUEL DUMP,VIDANGE DE CARBURANT
StartDumpButton_409584,Start Fuel Dump,Start Dump,Demarrer le vidage
txt_414010,Start Fuel Dump,START,DeMARRER
StopDumpButton_409644,Stop Fuel Dump,Stop Dump,Arreter le vidage
txt_414948,Stop Fuel Dump,STOP,ARRETER
cmsUINameText_319304,UI Text,COUNTERMEASURE SYSTEM,SYSTEME DE CONTRE-MESURE
Chaff_396040,VR Interactable,Toggle Chaff,Basculer la paille
titleText_412036,UI Text,CHAFF,BALLE
Flares_395820,VR Interactable,Toggle Flares,Basculer les fusees eclairantes
titleText_319618,UI Text,FLARES,FLECHES
txt_413196,CMS Release Mode,RELEASE MODE,MODE DE LIBERATION
RateAdjustTitle_321828,UI Text,RELEASE RATE,TAUX DE LIBERATION
RateUp_318734,VR Interactable,Rate +,Tarif +
RateDown_317472,VR Interactable,Rate -,Taux -
Subsized_912990,UI Text,SMS,SMS
Subsized_dumpTxt_410998,UI Text,FUEL DUMP,VIDANGE DE CARBURANT
title_911810,UI Text,"LOCK
B
R
A","SERRURE
B
R
A"
OffObj_913268,UI Text,RADAR OFF,RADAR DESACTIVE
FOVText_916096,UI Text,BORESIGHT,BORESIGHT
txt_914320,UI Text,POWER,PUISSANCE
Text_916224,UI Text,RADAR,RADAR
FOVText ButtonLabel_912576,VR Interactable,Toggle Scan Angle,Basculer l'angle de balayage
FOVText ButtonLabel_txt_-99372,UI Text,SCAN ANGLE,ANGLE DE BALAYAGE
RangePlusButton_914332,VR Interactable,Range +,Portee +
RangeMinusButton_912506,VR Interactable,Range -,Varier -
TgtsTitle_916300,UI Text,TARGETS,CIBLES
UpIcon_912786,VR Interactable,Prev Target,Cible precedente
DnIcon_914006,VR Interactable,Next Target,Cible suivante
MoveDnIcon_912108,VR Interactable,Move Down,Descendre
MoveUpIcon_911912,VR Interactable,Move Up,Deplacer vers le haut
GroupsTitle_914306,UI Text,GROUPS,GROUPES
GroupsDown_912348,VR Interactable,Next Group,Groupe suivant
GroupsUp_915390,VR Interactable,Prev Group,Groupe precedent
DelTgt_913348,delete gps target interactable tooltip,Delete Target,Supprimer la cible
DelTgt_txt_-102726,delete gps target button label,"DELETE
TARGET","SUPPRIMER
CIBLE"
DelGrp_915250,delete gps group button tooltip,Delete Group,Supprimer le groupe
DelGrp_txt_-103580,delete gps group button label,"DELETE
GROUP","SUPPRIMER
GROUPE"
NewGrp_911746,new gps group button tooltip,New Group,Nouveau groupe
NewGrp_txt_-104494,new gps group button label,"NEW
GROUP","NOUVEAU
GROUPE"
pathLabel_915232,gps group path mode tooltip,Toggle Path Mode,Basculer en mode chemin
gpsWptButton_txt_-106506,set gps point waypoint label,SET WPT,SET WPT
SendData_-6646600,Send GPS group to friendlies in multiplayer,Send Data,Envoyer des donnees
SendData_txt_-6646598,delete gps target button label,"SEND
DATA","Envoyer
Donnees"
Subsized_911596,UI Text,"GPS
TARGETS","GPS
CIBLES"
NoSignalText_913810,UI Text,NO SIGNAL,PAS DE SIGNAL
Text_915098,UI Text,AREA,ZONE
Text_915864,UI Text,POINT,INDIQUER
Text_915242,UI Text,IFF:FRIEND,IFF:AMI
Text_914872,UI Text,IFF:FOE,
