Key,Description,en,fr
canopyFrame.003_954194,VR Interactable,Mirror,Miroir
joyInteractable_953200,VR Interactable,Joystick,Manette
joyAdjustInteractable_955138,VR Interactable,Adjust Joystick,Ajuster le joystick
AdjLeftButton_952542,VR Interactable,Adjust Left,Ajuster a gauche
AdjRightButton_954950,VR Interactable,Adjust Right,Ajuster a droite
AdjFwdButton_954070,VR Interactable,Adjust Forward,Ajuster vers l'avant
AdjBackButton_954494,VR Interactable,Adjust Back,Ajuster en arriere
AdjUpButton_956738,VR Interactable,Adjust Up,Ajuster vers le haut
AdjDownButton_955744,VR Interactable,Adjust Down,Ajuster vers le bas
ToggleAdjustJoyInteractable_952782,VR Interactable,Toggle Auto Adjust,Basculer le reglage automatique
Text_955910,UI Text,AUTO,AUTO
throttleInteractable_956892,VR Interactable,Throttle,Manette de Gaz
ejectInteractable_952116,VR Interactable,Eject,ejecter
ButtonText_952188,UI Text,"Recenter
seat",Plus recent
ButtonText_954848,UI Text,Restart,Redemarrer
ButtonText_954842,UI Text,"exit
mission",sortir
ButtonText_955448,UI Text,"Quick
save",Rapide
ButtonText_953872,UI Text,Load,Charge
ButtonText_955618,UI Text,Save,Sauvegarder
helmVisorInteractable_955814,VR Interactable,Visor,Visiere
helmNVGInteractable_955816,VR Interactable,NVG,LVN
PendingText_955728,UI Text,in progress...,en cours...
CompleteText_953308,UI Text,COMPLETE,ACHEVeE
MissionText_954156,UI Text,"MISSION
",MISSION
FailedText_955730,UI Text,FAILED,ECHOUE
Handle_115524,VR Interactable,Scroll,Defiler
Text_952430,UI Text,Restart Mission,Redemarrer la mission
ReturnButton_955218,VR Interactable,Return to Main,Retour a l'accueil
Text_952202,UI Text,Finish Mission,Terminer la mission
ToggleLogButton_953462,VR Interactable,Toggle Flight Log,Basculer le journal de vol
Text_956176,UI Text,Show/Hide Flight Log,Afficher/Masquer le journal des vols
ContinueFlightButton_954168,VR Interactable,Continue Flight,Continuer le vol
Text_956284,UI Text,Flight log,Journal de vol
UpIcon_954544,VR Interactable,Scroll Up,Défiler vers le haut
DnIcon_955334,VR Interactable,Scroll Down,Défiler vers le bas
BottomIcon_954644,VR Interactable,To Bottom,Vers le bas
SaveToDiskText_952718,VR Interactable,Save Flight Log,Enregistrer le journal de vol
completionTimeLabel_1297772,UI Text,Completion Time:,Le temps d'achevement:
visorButtonInteractable_955012,VR Interactable,Toggle Visor,Basculer la visiere
nvgButtonInteractable_954948,VR Interactable,Toggle NVG,Basculer les NVG
HUDTintKnob_954844,VR Interactable,HUD Tint,
MasterCautionInteractable_955266,VR Interactable,Clear Cautions,Precautions claires
AltitudeModeInteractable_954586,VR Interactable,Toggle Altitude Mode,Basculer le mode d'altitude
ClrWptButton_956888,VR Interactable,Clear Waypoint,Effacer le point de cheminement
headingAPButton_956800,VR Interactable,Heading Hold,Maintien du cap
altitudeAPButton_952938,VR Interactable,Altitude Hold,Maintien d'altitude
speedAPButton_-3021126,VR Interactable,Airspeed Hold,Maintien de la vitesse
offAPButton_953862,VR Interactable,All AP Off,Tous les AP désactives
navAPButton_953656,VR Interactable,Navigation Mode,Mode navigation
hudPowerInteractable_952146,VR Interactable,HUD Power,Puissance HUD
hmcsPowerInteractable_952122,VR Interactable,HMCS Power,
HUDBrightKnob_952800,VR Interactable,HUD Brightness,
DeclutterKnob_535224,VR Interactable,HUD Declutter,
MFDBrightnessKnob_955120,VR Interactable,MFD Brightness,
mfdSwapButton_-23972,VR Interactable,Swap MFDs,
leftEngineSwitchInteractable_954450,VR Interactable,Left Engine,
coverSwitchInteractable_leftEngine_955432,VR Interactable,Switch Cover (Left Engine),
rightEngineSwitchInteractable_954616,VR Interactable,Right Engine,
coverSwitchInteractable_rightEngine_954968,VR Interactable,Switch Cover (Right Engine),
apuSwitchInteractable_954938,VR Interactable,Auxilliary Power,
coverSwitchInteractable_apuSwitch_957054,VR Interactable,Switch Cover (APU),
mainBattSwitchInteractable_956298,VR Interactable,Main Battery,
CanopyInteractable_955182,VR Interactable,Canopy,
GearInteractable_952278,VR Interactable,Landing Gear,
FlapsInteractable_954972,VR Interactable,Flaps,
HookInteractable_952960,VR Interactable,Arrestor Hook,
CatHookInteractable_953160,VR Interactable,Launch Bar,
MasterJettisonButtonInteractable_953496,VR Interactable,Jettison,
coverSwitchInteractable_jettisonButton_957040,VR Interactable,Switch Cover (Jettison),
JettisonAllInteractable_957116,VR Interactable,Jettison All,
JettisonEmptyInteractable_953786,VR Interactable,Jettison Empty,
ClearJettisonInteractable_955908,VR Interactable,Clear Jettison Marks,
JettTanksInteractable_956154,VR Interactable,Jettison Ext Tanks,
Label (1)_956422,UI Text,QUICK START,
QuickStartInteractable_954058,VR Interactable,Quickstart Engines,
Label (1)_954266,UI Text,QUICK FLY,
QuickFlyButton_956882,VR Interactable,QuickFly,
raiseSeatInter_952934,VR Interactable,Raise Seat,
lowerSeatInter_956538,VR Interactable,Lower Seat,
RWRText_957050,UI Text,"R
W
R",
Text_956238,UI Text,VRMMFD v1.6,VRMMFD v1.6
Text (1)_955806,UI Text,FUEL,LE CARBURANT
Text_955420,Internal Fuel,INTERNAL,INTERNE
Text_955022,External Fuel,EXTERNAL,EXTERNE
fuelDrainLabel_955210,UI Text,FUEL DRAIN,VIDANGE DE CARBURANT
estTimeLabel_952850,UI Text,EST TIME,HEURE EST
estDistLabel_956560,UI Text,EST DISTANCE,DISTANCE EST
twrLabel_952686,UI Text,MAX TWR,MAX TWR
RWRButton_952182,VR Interactable,RWR,RWR
powButtonMMFDLeft_953178,VR Interactable,Power (MMFD Left),Puissance (MMFD Gauche)
FuelText_952778,UI Text,"F
U
E
L",F
InfoText_952704,UI Text,"I
N
F
O",je
powButtonMMFDRight_955652,VR Interactable,Power (MMFD Right),Puissance (MMFD Droite)
fuelButton_955472,VR Interactable,Fuel,Le carburant
fuelDrainButton_953542,VR Interactable,Info,Info
Text_953094,UI Text,"VR MFCD
1.0
",MFCD VR
SaveToDiskText_953598,UI Text,Save to Disk,
TgtsTitle_955166,UI Text,GPS TARGETS,
GroupsTitle_954186,UI Text,GROUPS,
DelTgt_955584,UI Text,"DELETE
TARGET",
DelGrp_956268,UI Text,"DELETE
GROUP",EFFACER
NewGrp_953456,UI Text,"NEW
GROUP",NOUVEAU
pathLabel_955452,UI Text,PATH,CHEMIN
Title_953670,UI Text,"Spectator
Camera",Spectateur
AutoFOVText_952996,UI Text,AutoFOV,Champ de vision automatique
FOVText ButtonLabel_954546,UI Text,SCAN ANGLE,ANGLE DE BALAYAGE
title_953028,UI Text,"LOCK
B
R
A",FERMER a CLe
OffObj_956796,UI Text,RADAR OFF,RADAR DeSACTIVe
FOVText_955746,UI Text,BORESIGHT,BORESIGHT
Title_952256,UI Text,ARAD,ARAD
offTxt_952304,UI Text,RWR OFF,RWR DeSACTIVe
hudModeText_956624,UI Text,DECL,DECL
Text_956014,UI Text,GAME MENU,MENU DU JEU
Text_957026,UI Text,"Sit comfortably
and press
[menu]
to recenter",Asseyez-vous confortablement
saveText_952280,UI Text,SAVE,SAUVEGARDER
availableLabel_956208,UI Text,"SAVES
AVAILABLE:",eCONOMISE
NoQsText_955496,UI Text,"QUICKSAVE
NOT AVAILABLE",SAUVEGARDE RAPIDE
lastSaveLabel_954396,UI Text,Last Save:,Derniere sauvegarde�:
loadText_957016,UI Text,LOAD,CHARGE
text_956760,UI Text,SAVED,ENREGISTRE
Quicksave Title_121936,UI Text,Quicksave,Sauvegarde rapide
titleText_620198,UI Text,FLARES,FLeCHES
titleText_618466,UI Text,CHAFF,BALLE
eqNameText_930458,UI Text,COUNTERMEASURE SYSTEM,SYSTeME DE CONTRE-MESURE
BingoAdjustTitle_-439040,UI Text,RELEASE RATE,TAUX DE LIBeRATION
txt_929168,UI Text,RELEASE MODE,MODE DE LIBeRATION
NoSignalText_955176,UI Text,NO SIGNAL,PAS DE SIGNAL
Text_952186,UI Text,AREA,SURFACE
Text_954224,UI Text,POINT,POINT
Text_954786,UI Text,IFF:FRIEND,IFF�: AMI
Text_952462,UI Text,IFF:FOE,IFF�:�FOE
HeadModeText_956034,UI Text,"USE HELMET VISOR/HMCS

AUGMENTED VIEW ENABLED",UTILISER LA VISIeRE DU CASQUE/HMCS
gimbalLimit_956102,UI Text,GIMBAL LIMIT,LIMITE DE CARDIAQUE
hmdViewStatus_953932,UI Text,HMD,HMD
eqNameText_619628,UI Text,VEHICLE OPTIONS,OPTIONS DE VeHICULE
Text_954730,UI Text,"Sit comfortably
and press menu
(top button)
to recenter",Asseyez-vous confortablement
AltModeLabel_953220,UI Text,UNITS,UNITeS
unitOptsText_621558,UI Text,ALT WARN,ALT AVERT
JoyModeText_952514,UI Text,JOYSTICK MODE,MODE JOYSTICK
JoyModeText_368540,UI Text,JOY SENS,JOIE SENS
eqNameText_621662,UI Text,UNIT OPTIONS,OPTIONS D'UNITe
AltModeLabel_614816,UI Text,Alt Units,Unites alternatives
DistModeLabel_954954,UI Text,Dist Units,Unites de distance
SpeedModeLabel_955738,UI Text,Speed Units,Unites de vitesse
BackText_954528,UI Text,BACK,DOS
eqNameText_618502,UI Text,FUEL CONFIG,CONFIG CARBURANT
