Key,Description,en,fr
DemoText_746066,UI Text,DEMO,DEMO
SelectPilotButton_745718,VR Interactable,Select Existing Pilot,"Pilote existant "
Text_742314,UI Text,Select Pilot,Selection du pilote
NewPilotButton_745346,VR Interactable,Create New Pilot,Créer pilote
Text_742072,UI Text,New Pilot,Nouveau pilote
QuitButton_740624,VR Interactable,Quit Game,Quitter le jeu
Text_742474,UI Text,QUIT,QUITTER
SettingsButton_747456,VR Interactable,Settings,PARAMÈTRES
Text_740102,UI Text,"Settings
",PARAMÈTRES
CreditsButton_-102322,VR Interactable,Game Credits,
Text_726044,UI Text,Credits,Credits
VTOL VR (1)_747232,UI Text,VTEDIT,VTEDIT
EditorButton_743918,VR Interactable,Mission Editor,"Editeur mission "
MapEditorButton_747578,VR Interactable,Map Editor,Editeur de carte
VTEDIT (1)_729932,UI Text,VT,
VTOL VR_744834,UI Text,VTOL VR,VTOL VR
Text_ACReadyToFly,UI Text,Ready to fly?,Prêt a voler ?
Text_AC_SelectVehicle,UI Text,Select Vehicle,Sélection véhicule
Text_ACNewPilot,UI Text,New Pilot?,Nouveau Pilote
Tutorials Button_-4966024,VR Interactable,Tutorials,Didacticiel
Text_ACTutorial,UI Text,Tutorial,Didacticiel
Label_514208,UI Text,Pilot Name:,Nom du pilote:
EditNameButton_745868,VR Interactable,Edit Name,Modifier le nom
Text_743158,UI Text,Edit name,Modifier le nom
BackButton_744184,VR Interactable,Back To Main,Retour a l'accueil
Text_742734,UI Text,Back,Retour
StartButton_745400,VR Interactable,Start New Pilot,Crée un pilote
Text_744692,UI Text,Start,Commencer
InvalidName_740436,UI Text,[ Invalid Name ],[ Nom incorrect  ]
DeleteButton_740016,VR Interactable,Delete Pilot,Supprimer pilote
PILOTS_745628,UI Text,Pilots,Pilotes
NextPilotButton_747706,VR Interactable,Next Pilot,Prochain pilote
PrevPilotButton_741810,VR Interactable,Previous Pilot,Pilote precedent
AreYouSure_743668,UI Text,Are you sure you want to delete?,Etes-vous sûr que vous voulez supprimer ?
Text_740860,UI Text,"Yes, Delete","Oui, Supprimer"
NoDeleteButton_743870,VR Interactable,Cancel Delete,Annuler Supprimer
Text_745554,UI Text,"No, keep","Non, gardez"
