Key,Description,en,fr
AIM-120 Advanced Radar Missile_fullName,Full equip name of: AIM-120 Advanced Radar Missile,AIM-120 Advanced Radar Missile,Missile radar avance AIM-120
AIM-120 Advanced Radar Missile_description,Item description of: AIM-120 Advanced Radar Missile,"Radar guided medium range air to air missile.
",Missile air-air a moyenne portee a guidage radar.
eqSublabel_RADAR-AAM,HUD sub-label of an equip,RADAR AAM,AAM RADAR
AGM-89 Anti-ship Cruise Missile x2_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile x2,AGM-89 Anti-ship Cruise Missile x2,Missile de croisiere anti-navire AGM-89 x2
AGM-89 Anti-ship Cruise Missile x2_description,Item description of: AGM-89 Anti-ship Cruise Missile x2,"Air-launched anti-ship cruise missile.  Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology."," radar target acquisition"
eqSublabel_ANTI-SHIP-CRUISE,HUD sub-label of an equip,ANTI-SHIP CRUISE,CROISIERE ANTI-NAVIRES
asml_terminalMode,An option for anti-ship cruise missiles' flight behavior in the last (terminal) phase of guidance.,TERMINAL MODE,MODE TERMINAL
asml_noTarget,HUD label shown when the selected anti-ship missile has no target.,NO TARGET,PAS DE CIBLE
asml_overRange,HUD label shown when the selected anti-ship missile has a target that is too far away.,OVER RANGE,SUR TOUTE LA GAMME
asml_inRange,HUD label shown when the selected anti-ship missile has a target that is within firing range.,IN RANGE,DANS LA GAMME
asml_path,HUD label shown when the selected anti-ship missile will follow a flight path.,PATH,CHEMIN
asml_point,HUD label shown when the selected anti-ship missile will fly to a specific target point.,POINT,POINT
s_asmTmode_0,Antiship terminal guidance mode,Direct,Direct
s_asmTmode_1,Antiship terminal guidance mode,SeaSkim,SeaSkim
s_asmTmode_2,Antiship terminal guidance mode,SSEvasive,SSevasif
s_asmTmode_3,Antiship terminal guidance mode,Popup,Surgir
ASM-66LR_fullName,Full equip name of: ASM-66LR,ASM-66LR,
ASM-66LR_description,Item description of: ASM-66LR,Active radar-guided surface to air missile. Equipped with first stage booster for extended range.,Missile sol-air actif guidé par radar. Équipé d'un booster de premier étage pour une autonomie étendue
GBU-38 Bomb x3_fullName,Full equip name of: GBU-38 Bomb x3,GBU-38 Bomb x3,Bombe GBU-38 x3
GBU-38 Bomb x3_description,Item description of: GBU-38 Bomb x3,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munition d'attaque directe guidee par GPS de 500 lb.�C'est une bombe Mk.82 avec un kit de guidage attache.
eqSublabel_GPS-BOMB,HUD sub-label of an equip,GPS BOMB,BOMBE GPS
gpsBomb_targetMode,"An option for GPS bombs' targeting mode (auto, manual, dumb)",TARGET MODE,MODE CIBLE
gpsBomb_autoRelRate,An option for GPS bomb's automatic release rate (shortened to fit UI space).,AUTO REL RATE,TAUX DE REL AUTO
s_gbu_mode_0,Targeting mode label for GPS bomb,MANUAL,MANUEL
s_gbu_mode_1,Targeting mode label for GPS bomb,AUTO,AUTO
s_gbu_mode_2,Targeting mode label for GPS bomb,DUMB,STUPIDE
interactable_button_grip,,Grip,Saisir
interactable_button_trigger,,Trigger,Declencheur
vehicleConfig_denyBusy,Denial message for vehicle configurator,BUSY: RELOADING,OCCUPÉ:RECHARGEMENT
vehicleConfig_invalidReload,Denial message for vehicle configurator,Full reload will be over budget!,La recharge complete depassera le budget�!
vehicleConfig_totalMass,,Total mass:,Masse totale:
vehicleConfig_fuelKnob,,Set fuel,Definir le carburant
vehicleConfig_flightCost,,Flight cost:,Coût du vol:
vehicleConfig_budget,,Budget:,Budget:
vehicleConfig_countermeasures,,Countermeasures,Contre-mesures
vehicleConfig_flareLabel,,IR Flares,Fusees infrarouges
vehicleConfig_flareKnob,,Set flares,Definir des fusees eclairantes
vehicleConfig_chaffLabel,,ECM Chaff,Paillettes ECM
vehicleConfig_chaffKnob,,Set chaff,Definir la paille
vehicleConfig_repairButton,,Repair,reparation
vehicleConfig_repairButtonText,,Repair,Reparation
vehicleConfig_repairCostLabel,,Repair cost:,Cout de reparation:
vehicleConfig_equipMass,,Mass:,Masse:
vehicleConfig_hardpoint,,Hardpoint,Point dur
vehicleConfig_none,,None,Rien
vehicleConfig_saveLoad,,Save/load,Sauvegarder charger
vehicleConfig_backButton,Return to previous screen,Back,Retour
equipConfig_noEquips,A label shown in the vehicle configurator when there are no available equipment.,No equipment.,Aucun equipement.
equipConfig_noEquipsDescription,A more descriptive label shown when there is no equipment available.,Equipment for this hardpoint is not yet available.,L'equipement pour ce point dur n'est pas encore disponible.
vehicleConfig_equipCost,,Cost:,Cout:
vehicleConfig_count,,Count:,Compter:
vehicleConfig_fuel,,FUEL,CARBURANT
vehicleConfig_equipButton,Equip the selected item,Equip,Equiper
vehicleConfig_detachButton,Detach the current item,Detach,Detacher
vehicleConfig_previous,,Previous,Suivant
vehicleConfig_next,,Next,Suivant
vehicleConfig_availableEquipment,,"Available
equipment",Disponible
vehicleConfig_scroll,,Scroll,Faire defiler
